Year,Month,Date,Site,Depth,Observer,Transect,Quadrat,code,genus,species,length,width,SA
2022,9,3,Coral City,36,GGG,2,1,PAST,Porites,astreoides,1,1,0.785398163
2022,9,3,Coral City,36,GGG,2,4,PPOR,Porites,porites,4,2,6.283185307
2022,9,3,Coral City,36,GGG,2,5,AAGA,Agaricia,agaricites,4,4,12.56637061
2022,9,3,Coral City,33,GGG,1,1,SRAD,Siderastrea,radians,3,3,7.068583471
2022,9,3,Coral City,33,GGG,1,1,PAST,Porites,astreoides,3,3,7.068583471
2022,9,3,Coral City,33,GGG,1,1,PPOR,Porites,porites,4,3,9.424777961
2022,9,3,Coral City,33,GGG,1,2,SRAD,Siderastrea,radians,1,2,1.570796327
2022,9,3,Coral City,33,GGG,1,2,SRAD,Siderastrea,radians,1,2,1.570796327
2022,9,3,Coral City,33,GGG,1,3,AFRA,Agaricia,fragilis,3,1,2.35619449
2022,9,3,Coral City,33,GGG,1,3,AFRA,Agaricia,fragilis,2,1,1.570796327
2022,9,3,Coral City,33,GGG,1,3,SSID,Siderastrea,siderea,3,2,4.71238898
2022,9,3,Coral City,33,GGG,1,5,PAST,Porites,astreoides,2,3,4.71238898
2022,9,3,Coral City,33,GGG,1,5,PAST,Porites,astreoides,4,3,9.424777961
2022,9,3,Grundys,30,GGG,1,1,AAGA,Agaricia,agaricites,4,4,12.56637061
2022,9,3,Grundys,30,GGG,1,1,PPOR,Porites,porites,4,3,9.424777961
2022,9,3,Grundys,30,GGG,1,1,MALC,Millepora,alcicornis,4,1,3.141592654
2022,9,3,Grundys,30,GGG,1,1,PAST,Porites,astreoides,2,1,1.570796327
2022,9,3,Grundys,30,GGG,1,1,PAST,Porites,astreoides,1,1,0.785398163
2022,9,3,Grundys,30,GGG,1,2,AAGA,Agaricia,agaricites,4,3,9.424777961
2022,9,3,Grundys,30,GGG,1,2,AAGA,Agaricia,agaricites,4,2,6.283185307
2022,9,3,Grundys,30,GGG,2,1,AAGA,Agaricia,agaricites,3,2,4.71238898
2022,9,3,Grundys,30,GGG,2,1,AAGA,Agaricia,agaricites,4,3,9.424777961
2022,9,3,Grundys,30,GGG,2,2,AAGA,Agaricia,agaricites,2,2,3.141592654
2022,9,3,Grundys,30,GGG,2,3,PPOR,Porites,porites,3,1,2.35619449
2022,9,3,Grundys,30,GGG,2,3,PPOR,Porites,porites,1,1,0.785398163
2022,9,3,Westpoint,41,GGG,1,1,SSID,Siderastrea,siderea,4,4,12.56637061
