"","X","Year","Site","Transect","prop_CCA","prop_macro","prop_turf","Observer","Site_Name"
"1",1,"1999","Coral City",1,0.668888888888889,0.261111111111111,0.07,NA,"Coral City"
"2",2,"1999","Coral City",2,0.667783094098884,0.256778309409888,0.0754385964912281,NA,"Coral City"
"3",3,"1999","Coral City",3,0.450557297109021,0.352569371879717,0.196873331011262,NA,"Coral City"
"4",4,"1999","Coral City",4,0.566931216931217,0.361375661375661,0.0716931216931217,NA,"Coral City"
"5",5,"1999","Coral City",5,0.561960784313726,0.414509803921569,0.0235294117647059,NA,"Coral City"
"6",6,"1999","Coral City",6,0.379149825783972,0.307456445993031,0.313393728222996,NA,"Coral City"
"7",7,"1999","Coral City",7,0.373236621534494,0.196366399557889,0.430396978907617,NA,"Coral City"
"8",8,"1999","Coral City",8,0.224170771756979,0.221182266009852,0.554646962233169,NA,"Coral City"
"9",9,"1999","Coral City",9,0.271306471306471,0.370695970695971,0.357997557997558,NA,"Coral City"
"10",10,"1999","Coral City",10,0.298020270910296,0.296176944207635,0.405802784882069,NA,"Coral City"
"11",11,"1999","Coral City",11,0.522372077905478,0.174152998878821,0.303474923215701,NA,"Coral City"
"12",12,"1999","Coral City",12,0.231233766233766,0.27474025974026,0.494025974025974,NA,"Coral City"
"13",13,"1999","Coral City",13,0.309059011164274,0.25377990430622,0.437161084529506,NA,"Coral City"
"14",14,"1999","Coral City",14,0.360435848980741,0.279332019889295,0.360232131129964,NA,"Coral City"
"15",15,"1999","Coral City",15,0.252270822859058,0.314152840623429,0.433576336517513,NA,"Coral City"
"16",16,"1999","Grundys  Gardens",1,0.213714285714286,0.207690791966654,0.57859492231906,NA,"Grundy's Gardens"
"17",17,"1999","Grundys  Gardens",2,0.151943755169562,0.526732837055418,0.321323407775021,NA,"Grundy's Gardens"
"18",18,"1999","Grundys  Gardens",3,0.148965045332725,0.309618520841649,0.541416433825626,NA,"Grundy's Gardens"
"19",19,"1999","Grundys  Gardens",4,0.126190476190476,0.296428571428571,0.577380952380952,NA,"Grundy's Gardens"
"20",20,"1999","Grundys  Gardens",5,0.241893632683106,0.411633181060426,0.346473186256468,NA,"Grundy's Gardens"
"21",21,"1999","Grundys  Gardens",6,0.282765036382058,0.374690982776089,0.342543980841853,NA,"Grundy's Gardens"
"22",22,"1999","Grundys  Gardens",7,0.335643794264484,0.251972309299896,0.412383896435621,NA,"Grundy's Gardens"
